Births by year and month per place of event city,,,
,,,
BOOK_YEAR,MTH,CITY,COUNT(*)
1917,Jul,COLLINGWOOD,19
1917,Jul,COPPERCLIFF,10
1917,Jul,CORNWALL,17
1917,Jul,CORNWALL TWP,12
1917,Jul,CREIGHTON MINE,9
1917,Jul,CROWLAND,6
1917,Jul,CUMBERLAND TWP,11
1917,Jul,DESERONTO,8
1917,Jul,E WHITBY TWP,6
1917,Jul,EASTVIEW,10
1917,Jul,ELMA TWP,9
1917,Jul,EMBRUN,12
1917,Jul,ERIN TWP,7
1917,Jul,ESPANOLA,11
1917,Jul,FORD CITY,7
1917,Jul,FORT FRANCES,10
1917,Jul,FORT WILLIAM,60
1917,Jul,GALT,28
1917,Jul,GANANOQUE,7
1917,Jul,GODERICH,6
1917,Jul,GOLDEN LAKE,7
1917,Jul,GOSFIELD N T,7
1917,Jul,GUELPH,25
1917,Jul,GUELPH TWP,11
1917,Jul,HAILEYBURY,13
1917,Jul,HAMILTON,231
1917,Jul,HAMMOND,6
1917,Jul,HAWKESBURY,17
1917,Jul,HESPELER,12
1917,Jul,HOWARD TWP,6
1917,Jul,INGERSOLL,12
1917,Jul,IROQUOIS FALLS,6
1917,Jul,KENORA,20
1917,Jul,KINGSTON,43
1917,Jul,KITCHENER,44
1917,Jul,LANCASTER TWP,7
1917,Jul,LINDSAY,16
1917,Jul,LOCHIEL TWP,9
1917,Jul,LONDON,110
1917,Jul,LONDON TWP,6
1917,Jul,MARKHAM TWP,7
1917,Jul,MATTAWA,11
1917,Jul,MCKILLOP TWP,7
1917,Jul,MERSEA TWP,7
1917,Jul,MIDLAND,23
1917,Jul,MINTO TWP,8
1917,Jul,MONO TWP,6
1917,Jul,MOORE TWP,11
1917,Jul,MORNINGTON TWP,6
1917,Jul,MOUNT DENNIS,8
1917,Jul,MOUNT FOREST,6
1917,Jul,MUSKOKA TWP,6
